,Defect,Reason,Method
5293,Сработало термореле воды или масла,"После этого восстановить отключенное состояние реле заземления, включить разъединители ВРЗ1 и ВРЗ2 и следовать далее, контролируя максимально допустимый ток тягового генератора 3500 А",8
5292,Сработало термореле воды или масла,Сработало реле РОП,Неисправность тягового электродвигателя
5291,Сработало термореле воды или масла,"Освобождая реле от защелки и поочередно отключая ОМ1-ОМ6, определить и отключить неисправный двигатель",9
5290,Сработало термореле воды или масла,Частота вращения вала дизеля по позициям не соответствует номинальной (не увеличивается или резко изменяется),Нарушение одного из контактов контролера в цепях управления электромагнитами МР1-МР4
5289,Сработало термореле воды или масла,Проверить штепсельное соединение ОРД.,
5288,Сработало термореле воды или масла,,Не работает датчик числа оборотов
5287,Сработало термореле воды или масла,Проверить штепсельное соединение датчика числа оборотов.,10
5286,Сработало термореле воды или масла,Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении,Попадание воздуха в топливную систему
5285,Сработало термореле воды или масла,При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.,11
5284,Сработало термореле воды или масла,Дизель не развивает обороты.,Тугой ход или заклинивание реек топливных насосов
5283,Сработало термореле воды или масла,Отключить поводок рейки неисправного топливного насоса,
5282,Сработало термореле воды или масла,,Разъединение рейки топливного насоса и поводка
5281,Сработало термореле воды или масла,Соединить поводок рейки с тягой подачи топлива,12
5280,Сработало термореле воды или масла,Низкое давление масла в системе смазки,Пониженная вязкость масла вследствие его перегрева или попадания топлива
5279,Сработало термореле воды или масла,"Добейтесь снижения температуры масла, далее следовать с постоянным контролем давления и температуры масла",13
5278,Сработало термореле воды или масла,"Снижение давления наддува, сопровождаемое повышением температуры выпускаемых газов","Чрезмерно большое сопротивление на всасывании, засорен воздухоочиститель"
5277,Сработало термореле воды или масла,"Перейти на забор воздуха из дизельного помещения, путём открытия заслонок на ФНД",14
5276,Сработало термореле воды или масла,Повышенная остаточная частота вращения вентиляторного колеса холодильника,Заполнен круг циркуляции (открыт вентиль)
5275,Сработало термореле воды или масла,Закрыть обходной вентиль запорного клапана гидромуфты,15
5274,Сработало термореле воды или масла,После пуска дизеля нет заряда батареи (амперметр указывает на разрядку или не работает),Перегорел предохранитель на 125 А вспомогательного генератора
5273,Сработало термореле воды или масла,Заменить перегоревший предохранитель,16
5272,Сработало термореле воды или масла,Повышенная течь топлива из сливной трубки форсунки или топливного насоса,Вышел из строя топливный насос или форсунка (при неисправном топливном насосе выведенная из зацепления рейка не перемещается)
5271,Сработало термореле воды или масла,Отключить неисправный топливный насос,17
5270,Сработало термореле воды или масла,"Стук, внезапно возникающий при работе дизеля",Неисправность шатунно-поршневой группы.
5269,Сработало термореле воды или масла,Немедленно остановить дизель.,18
5268,Сработало термореле воды или масла,При повышении температуры воды и масла вентилятор холодильника не увеличивает частоту вращения,Неисправны датчики ДТПМ
5267,Сработало термореле воды или масла,Перейти на ручное управление.,19
5266,Сработало термореле воды или масла,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются",Не включается микропереключатель
5265,Сработало термореле воды или масла,Перейти на ручной режим открытия жалюзи,20
5264,Сработало термореле воды или масла,Вышел из строя механический топливный насос дизеля,Заклинил топливный насос с приводом от дизеля.
5263,Сработало термореле воды или масла,Перейти на аварийный топливоподкачивающий агрегат включением тумблера ТНА.,21
5262,Сработало термореле воды или масла,При наборе 1-позиции не собирается цепь трогания,"Не включается КВ, ВВ, РУ-2"
5261,Сработало термореле воды или масла,"Проверить блокировки в цепи РУ-2, положение Д2, дверных створок ВВК, давление воздуха в ТМ, температуру воды и масла",22
5260,Сработало термореле воды или масла,"В пути следования нет нагрузки при исправной схеме движения, нет зарядки БА, занижены мощность или не включаются ВШ при включенном тумблере ""ТУП""",Неисправна УСТА
5259,Сработало термореле воды или масла,"Для перезапуска системы переключить автомат ""питание УСТА"" или при включенном автомате переключить тумблер на БР УСТА.","Если работа УСТА не восстанавливается, то:"
5258,Сработало термореле воды или масла,"1. Сначала выключить автомат ""Питания УСТА"" или тумблер на БР","2. Затем отключить все ШР у БР, кроме нижнего правого."
5257,Сработало термореле воды или масла,3. Проверить включены ли ШР у БРН.,"4. Переключить АР в ""аварийное"" положение."
5256,Занижена мощность ДГУ,Неисправность механического или электрооборудования тепловоза,Причины заниженной мощности:
5255,Занижена мощность ДГУ,1. Неисправность ОМ1-6 (проверка постановкой перемычки в обход всех ОМ),"2. Неисправность РУ-10 (визуальный осмотр, с 4-й позиции)"
5254,Занижена мощность ДГУ,"3. Неисправность индуктивного датчика (визуальный осмотр, при наборе позиций подвижный сердечник ИД не перемещается вглубь катушки)","4. Неисправность ВП-6 (дует воздух по вентилю, рычаги вверх, давит дизель, при выявлении снять фишку с ВП-6)"
5253,Занижена мощность ДГУ,"5. Заклинило ТНВД (проверка поднятием поводка на свободность хода, при выявлении отключить ТНВД)","6. Неисправность цилиндрового комплекта (проверка поднятием поводка ТНВД на посторонние хлопки в ТК, при выявлении отключить ТНВД)"
5252,Занижена мощность ДГУ,7. Неисправность датчика числа оборотов (проверка отсоединением ШР с датчика и последующей перезагрузкой УСТА),8. Слетела тяга с выходного вала ОРД
5251,Занижена мощность ДГУ,"9. Неисправность механизма захлопки (слабая пружина, не зафиксирован ""стакан"" стопором)","10. Мало давление надувочного воздуха с 8 позиции (на 15 позиции должно быть 1,4-1,8 кгс/см2)"
5250,Занижена мощность ДГУ,11. Не работает корректор наддува ОРД (проверить целостность трубки от ресивера к корректору),24
